Dominica,DMA,9.915,9.141,12.401,10.93,10.714,11.455,8.417,8.369,8.177,8.986
Dominican Republic,DOM,6.078,6.169,5.827,5.883,5.964,6.032,6.06,6.006,6.46,6.678
Ecuador,ECU,5.678,5.007,4.752,4.773,4.86,4.872,4.911,4.913,7.534,6.719
"Egypt, Arab Rep.",EGY,8.194,6.384,5.823,5.823,5.662,5.482,5.511,5.581,5.851,6.327
El Salvador,SLV,7.812,5.876,7.168,7.07,6.925,6.857,6.938,7.451,8.442,8.661
Equatorial Guinea,GNQ,16.246,13.738,9.965,9.616,9.345,9.096,8.85,8.582,9.026,9.042
Eritrea,ERI,15.215,11.084,6.806,6.654,6.58,6.504,6.353,6.309,6.424,6.729
Estonia,EST,12.4,13.2,11.8,11.6,11.7,11.8,11.9,11.6,11.9,14
Eswatini,SWZ,7.155,14.521,12.193,11.202,10.45,9.936,9.324,8.923,9.603,11.356
Ethiopia,ETH,20.055,14.758,7.502,7.208,6.93,6.767,6.569,6.439,6.616,6.776
Faroe Islands,FRO,7.5,7.7,8.1,7.7,7.7,8.9,7.7,8,7,8.1
Fiji,FJI,6.159,6.457,7.584,8.05,7.885,7.703,7.832,7.941,8.078,8.859
Finland,FIN,10,9.5,9.6,9.6,9.8,9.8,9.9,9.8,10,10.4
France,FRA,9.3,8.9,8.4,8.9,8.9,9.1,9.1,9.1,9.9,9.7
French Polynesia,PYF,3.275,2.284,2.952,3.037,3.126,3.219,3.31,3.391,3.859,5.376
Gabon,GAB,11.437,10.002,7.659,7.418,7.238,7.054,6.986,6.856,6.909,7.258
"Gambia, The",GMB,16.102,11.841,7.916,7.74,7.454,7.396,7.323,6.999,7.373,7.543
Georgia,GEO,10.499,11.188,12.576,12.531,12.411,12.603,12.963,12.88,13.976,15.166
Germany,DEU,11.6,10.2,10.7,11.3,11.1,11.3,11.5,11.3,11.9,12.3
Ghana,GHA,11.492,9.922,7.817,7.773,7.46,7.39,7.373,7.143,7.448,7.627
Gibraltar,GIB,7.359,6.637,7.395,8.606,8.032,8.182,8.191,8.283,8.685,11.546
Greece,GRC,9.2,9.7,10.4,11.2,11,11.6,11.2,11.7,12.2,13.5
Greenland,GRL,8.4,8,8.2,8.4,8.7,8.9,8.7,9.8,9.2,9.4
Grenada,GRD,7.348,7.131,7.502,7.572,7.82,7.9,7.956,8.008,8.061,8.151
Guam,GUM,4.486,4.663,5.71,5.958,6.046,6.127,6.21,6.304,7.178,7.337
Guatemala,GTM,8.595,6.19,5.071,5.071,5.038,5.015,4.995,4.892,5.337,6.504
Guinea,GIN,19.494,14.804,10.856,10.702,10.352,10.121,9.94,9.712,9.847,9.99
Guinea-Bissau,GNB,20.568,15.956,9.549,9.223,8.898,8.642,8.401,8.206,8.574,8.716
Guyana,GUY,8.358,7.399,7.459,7.431,7.475,7.472,7.499,7.444,8.026,9.987
Haiti,HTI,14.029,10.341,8.243,8.181,8.161,8.014,7.998,7.953,8.176,8.676
Honduras,HND,7.044,5.141,4.16,4.147,4.183,4.221,4.257,4.315,4.945,5.608
"Hong Kong SAR, China",HKG,5.2,5.1,6.2,6.3,6.4,6.3,6.4,6.5,6.8,6.9
Hungary,HUN,14,13.3,12.8,13.4,13,13.5,13.4,13.3,14.5,16.1
Iceland,ISL,6.7,6.5,6.3,6.6,6.9,6.5,6.4,6.3,6.3,6.3
India,IND,10.691,8.701,6.79,6.67,6.603,6.593,6.644,6.71,7.35,9.448
Indonesia,IDN,8.111,7.383,7.43,7.46,7.529,7.579,7.496,7.539,8.964,10.065
"Iran, Islamic Rep.",IRN,7.176,5.15,4.905,4.842,4.726,4.692,4.715,4.872,5.567,6.437
Iraq,IRQ,10.565,6.172,5.16,4.961,5.13,4.637,4.282,4.301,5.239,4.753
Ireland,IRL,8.9,8.2,6.3,6.4,6.4,6.3,6.4,6.3,6.5,6.6
Isle of Man,IMN,14.76,12.885,9.781,10.905,9.979,10.023,10.054,10.09,10.414,10.604
Israel,ISR,6.8,6,5.2,5.3,5.2,5.2,5,5.1,5.3,5.4
Italy,ITA,9.6,9.8,9.8,10.7,10.1,10.7,10.5,10.6,12.5,12
Jamaica,JAM,6.861,6.894,6.238,6.653,6.971,7.145,7.318,7.477,7.583,8.797
Japan,JPN,6.7,7.7,10.1,10.3,10.5,10.8,11,11.2,11.1,11.7
Jordan,JOR,4.345,3.724,3.361,3.169,3.169,3.155,3.15,3.148,3.475,3.868
Kazakhstan,KAZ,7.87,10.06,7.65,7.46,7.37,7.15,7.14,7.19,8.6,9.61
Kenya,KEN,9.31,10.677,7.304,7.361,7.34,7.294,7.305,7.29,7.456,8.056
Kiribati,KIR,9.229,7.09,6.727,6.623,6.519,6.426,6.345,6.252,6.242,6.236
"Korea, Dem. People's Rep.",PRK,5.578,10.763,8.183,8.088,8.327,8.502,8.721,8.878,9.078,9.313
"Korea, Rep.",KOR,5.6,5.2,5.3,5.4,5.5,5.6,5.8,5.7,5.9,6.2
Kosovo,XKX,5.421,4.986,4.645,4.841,4.973,5.262,5.505,5.56,7.505,7.22
Kuwait,KWT,2.697,1.868,1.695,1.761,1.811,1.914,2.052,2.194,3.254,2.906
Kyrgyz Republic,KGZ,6.9,7,6.1,5.8,5.5,5.4,5.2,5.2,6.1,5.8
Lao PDR,LAO,13.548,10.256,7.465,7.513,7.135,6.91,6.755,6.505,6.366,6.613
Latvia,LVA,13.1,13.6,14.3,14.4,14.6,14.8,15,14.5,15.2,18.4
Lebanon,LBN,7.848,4.554,4.221,4.235,4.343,4.495,4.704,5.178,6.253,8.271
Lesotho,LSO,10.013,16.083,15.519,14.825,14.126,13.651,13.259,13.014,12.858,14.186
Liberia,LBR,25.501,15.228,9.799,9.715,9.059,8.954,8.793,8.658,8.753,8.838
Libya,LBY,4.663,4.686,5.43,5.427,5.48,5.284,5.245,5.454,5.598,6.018
Liechtenstein,LIE,6.8,7.3,7.2,6.7,7.2,6.6,7.2,6.8,8.2,6.9
Lithuania,LTU,10.8,11.1,13.7,14.4,14.3,14.2,14.1,13.7,15.6,17
Luxembourg,LUX,9.9,8.6,6.9,7,6.8,7.1,7.1,6.9,7.3,7
"Macao SAR, China",MAC,4.425,3.64,3.768,3.851,3.877,3.864,3.86,3.983,4.047,4.111
Madagascar,MDG,14.463,10.385,7.076,7.049,6.81,6.79,6.736,6.518,6.801,7.104
Malawi,MWI,22.087,19.559,8.376,8.005,7.541,7.149,6.955,6.611,6.706,6.983
Malaysia,MYS,4.656,4.584,4.981,5.096,5.109,5.132,5.175,5.253,5.311,6.034
Maldives,MDV,7.916,4.458,2.718,2.718,2.738,2.784,2.828,2.858,3.001,3.02
Mali,MLI,19.272,15.984,10.548,10.211,9.927,9.637,9.419,9.205,9.529,9.274
Malta,MLT,7.8,7.5,7.5,7.7,7.3,7.6,7.6,7.3,7.9,8
Marshall Islands,MHL,7.248,6.388,6.94,6.975,7.021,7.097,7.187,7.29,7.425,7.556
Mauritania,MRT,9.614,8.856,8.301,7.979,7.707,7.446,7.248,7.003,7.466,7.44
Mauritius,MUS,6.6,6.7,7.7,7.7,8.1,8,8.5,8.8,8.7,10.5
Mexico,MEX,5.777,4.997,5.805,6.007,6.305,6.615,6.856,6.931,9.33,9.406
"Micronesia, Fed. Sts.",FSM,5.794,4.953,4.844,5.008,5.073,5.265,5.472,5.728,6.065,6.211
Moldova,MDA,10.588,12.993,14.166,14.133,13.54,13.088,13.339,13.089,14.445,16.36
Monaco,MCO,..,..,..,7.6,7.9,..,6.6,..,..,..
Mongolia,MNG,10.48,7.359,6.276,6.158,6.075,5.994,5.663,5.499,5.475,6.131
Montenegro,MNE,6.772,9,9.7,10.2,10.4,10.5,10.5,10.6,11.7,14.8
Morocco,MAR,7.706,6.432,5.741,5.705,5.674,5.642,5.637,5.658,6.073,6.17
Mozambique,MOZ,20.036,15.677,10.005,9.506,9.049,8.69,8.337,8.04,8.004,8.793
Myanmar,MMR,11.489,9.995,8.804,8.673,8.753,8.808,8.622,8.692,8.819,9.769
Namibia,NAM,8.31,12.718,9.427,9.077,8.686,8.47,8.403,8.248,8.475,10.709
Nauru,NRU,7.833,8.238,7.13,6.933,6.76,6.65,6.566,6.48,6.602,6.633
Nepal,NPL,12.66,8.294,6.981,7.376,6.93,6.971,7.041,6.871,7.209,7.776
Netherlands,NLD,8.6,8.8,8.3,8.7,8.7,8.8,8.9,8.8,9.7,9.8
New Caledonia,NCL,5.4,5.1,5.2,5.4,5.8,5.7,5.7,6,5.7,7.2
New Zealand,NZL,7.89,6.91,6.87,6.85,6.61,6.92,6.78,6.87,6.41,6.83
Nicaragua,NIC,7.288,5.547,4.597,4.635,4.633,4.619,4.605,4.626,5.703,4.859
Niger,NER,24.067,17.431,9.016,8.799,8.512,8.239,8.061,7.824,8.281,8.141
Nigeria,NGA,18.631,17.464,13.892,13.803,13.638,13.435,13.239,12.989,12.997,13.083
North Macedonia,MKD,7.606,8.5,9.5,9.9,9.853364793,9.8,9.5,9.8,12.4,15.5
Northern Mariana Islands,MNP,..,..,4.3,..,..,..,..,4,..,..
Norway,NOR,10.9,9.8,7.9,7.8,7.8,7.7,7.7,7.6,7.5,7.8
Oman,OMN,4.541,3.156,2.243,2.205,2.154,2.155,2.172,2.205,3.025,3.796
Pakistan,PAK,10.731,8.77,7.274,7.097,7.036,6.89,6.843,6.765,7.06,7.168
Palau,PLW,7.7,6.5,9.5,7.7,9.9,10.3,7.8,10.2,8.4,10.2
Panama,PAN,5.374,4.768,4.856,4.875,4.904,4.947,5.013,5.12,5.747,6.067
Papua New Guinea,PNG,8.119,7.471,6.734,6.585,6.57,6.508,6.532,6.468,6.402,6.683
Paraguay,PRY,6.382,5.621,5.481,5.446,5.398,5.445,5.569,5.636,5.916,7.638
Peru,PER,7.243,5.782,6.612,6.438,6.318,6.173,6.103,6.006,7.327,7.988
Philippines,PHL,6.781,5.729,5.704,5.736,5.695,5.665,5.631,5.609,5.566,7.311
Poland,POL,10.2,9.6,9.9,10.4,10.2,10.6,10.9,10.8,12.6,13.8
Portugal,PRT,10.3,10.2,10.1,10.5,10.7,10.7,11,10.9,12,12.1
Puerto Rico,PRI,7.3,7.48,8.5,8.084,8.86,9.222,9.063,9.194,9.6,8.6
Qatar,QAT,2.241,2.278,1.102,1.032,0.991,0.985,0.982,0.991,1.219,1.311
Romania,ROU,10.6,11.4,12.8,13.2,13.1,13.4,13.6,13.4,15.5,17.5
Russian Federation,RUS,11.2,15.3,13.1,13,12.9,12.4,12.5,12.3,14.6,16.7
Rwanda,RWA,15.403,15.774,6.953,6.724,6.49,6.367,6.227,6.137,5.998,6.28
Samoa,WSM,5.95,5.138,5.285,5.281,5.29,5.29,5.297,5.5,5.305,5.343
San Marino,SMR,..,..,7.7,7.1,7.6,8.2,7.1,7.2,9.9,9.1
Sao Tome and Principe,STP,10.105,9.334,6.345,6.198,6.123,5.863,5.879,5.876,6.294,6.387
